"order","extinction","ext.var","ext.median","origination","ori.var","ori.median","diversification","div.var","div.median","birth","birth.var","birth.median","death","death.var","death.median","duration","dur.var","dur.median","Nocc","Ngen","first_app_max","first_app_mean","q_rate","group"
"Rodentia",0.00484155006445298,0.00109609661235511,0.000122963164091055,0.0835072719078817,0.0176355087878436,0.056215013138909,0.0786657218434287,0.0191024948046,0.056013403707712,141.9,970.091836734694,135.5,0,0,0,122.725990201247,972.889845378998,115.167596780124,30804,1092,55.8,107.654,8.32857338976117,"Mammals"
"Sirenia",0.00379869965961349,0.000527929440600796,0.000632118910890695,0.186506496021734,0.0971816317445833,0.0198530002507134,0.182707796362121,0.0983533101294805,0.0188200495270058,79.14,79.714693877551,79,0,0,0,58.7307539840197,17.3524885109287,58.2566056209205,560,52,47.8,51.9,1.94197284907109,"Mammals"
"Soricomorpha",0.00612336603902798,0.00119202066718714,0.000293884264577749,0.178366796088401,0.103826991706165,0.0311124035918719,0.172243430049373,0.106397647834829,0.0305596565334676,92.18,196.722040816327,87.5,0,0,0,72.3735122765737,16.4380057044417,71.7613953231498,1834,104,66,69.05,6.0282775357071,"Mammals"
"Arecales",0.00585181025785545,0.00100962222017264,0.00183221371087271,0.0848746825900855,0.0613670677167701,0.0187955998416705,0.07902287233223,0.0625547149109761,0.0164500005673861,160.7,170.010204081633,158,0,0,0,123.031503724052,13.9593297225836,123.089544297819,346,16,125,119,0.768062208034177,"Plants"
"Cycadales",0.00333741056488816,4.16021728758682e-05,0.00301067273681526,0.0351632984186263,0.0282619598883296,0.00809759619195639,0.0318258878537381,0.0283063348929159,0.00506999284803249,421.84,9798.46367346939,394,0,0,0,344.917340915407,2731.68634033767,323.913577769214,352,15,323.2,311.05,0.936500810447218,"Plants"
"Cycadeoideales",0.000327031653487668,3.09549326795418e-05,0.000188593840438798,0.0486249170701433,0.0216274448445329,0.00133429042474012,0.0482978854166556,0.0216466915778004,0.00109921672402288,301.26,2372.8493877551,291.5,0,0,0,261.259925060077,153.299394265802,259.107944396015,825,18,259,255.585,0.550855103875817,"Plants"
"Ericales",0.0164855086792747,0.0109123775683251,0.00153138017519238,0.167281671799299,0.150930056642788,0.0189675000523066,0.150796163120025,0.166126069097047,0.01717820198098,143.96,852.651428571429,131.5,0,0,0,108.818647254393,89.6252549413492,104.929165255084,575,28,99.6,96.55,1.59380106061731,"Plants"
"Fabales",0.0170231579952411,0.00888323748340409,0.00249693601755212,0.0668289223746421,0.0230874086039018,0.0313451867349,0.049805764379401,0.0329711256570349,0.0277871259686533,125.5,123.397959183673,125,0,0,0,99.7929211151985,4.27994375872371,100.05453418274,317,23,100.5,96.55,0.657856217857673,"Plants"
"Fagales",0.0160311715250768,0.0106870393025403,0.000751829200989521,0.0360976323612026,0.00865331322501573,0.0330314265122355,0.0200664608361258,0.0203631379168087,0.0320304245257444,135.04,118.528979591837,136,0,0,0,126.504450697941,144.503425522367,127.736253476405,2334,26,145,122.75,0.972294774128633,"Plants"
"Gleicheniales",0.00193060478818592,0.000256796737047428,0.000932927054615475,0.063434020591375,0.0560012938196164,0.00570633160410016,0.061503415803189,0.0562957948224921,0.00462640149804126,344.58,1023.79959183673,331,0,0,0,278.923639833412,48.8953538922479,278.732628426876,585,11,272.5,262.4,0.613014455723784,"Plants"
